UWI,Nombre del Pozo,"Profundidad Total 
(ft)",Departamento,Cuenca,Lat,Lon,"Coordenada
X","Coordenada 
 Y","Elevación GL
(ft)","Elevacion 
(m)","Temperatura en superficie 
(°C)","BHT
(°F)","BHT
(°C)","Profundidad BHT
(ft)","Profundidad BHT 
(m)",Temperatura de formación (°C),Gradiente Geotérmico Aparente (°C/Km),Año de actualizacion del dato,Distance_To_Nearest_Volcano (m),Nearby Volcanos
ABAN0004,ABANICO-4,3020,Tolima,Valle Superior del Magdalena,4.213002,-74.893581,909770.865223,957357.370043,1030.0,313.944,26.63028,100.0,37.77777777777778,3020.0,920.4960000000001,40.17287595233566,14.71228115313446,2008.0,37601.741109041046,0
ABAN0005,ABANICO-5,2928,Tolima,Valle Superior del Magdalena,4.216078,-74.888898,910291.24435,957696.956787,1028.0,313.3344,26.633328,110.0,43.333333333333336,2928.0,892.4544000000001,45.637603269519694,21.29439360657496,2008.0,37852.17237888243,0
ABAN0006,ABANICO-6,2904,Tolima,Valle Superior del Magdalena,4.21472,-74.89122,910033.263457,957547.084087,1038.0,316.3824,26.618088,113.0,45.0,2842.0,866.2416000000001,47.22026230259663,23.783404425043347,2008.0,37716.838356337794,0
ACAE0001,ACAE-1,10578,Putumayo,Caguan-Putumayo,0.606276,-76.564731,723420.331087,558549.884585,903.0,275.2344,26.823828,200.0,93.33333333333334,10573.0,3222.6504,104.6712107607203,24.156322622125042,2008.0,74806.59379316661,0
ACAE0010,ACAE-10,10757,Putumayo,Caguan-Putumayo,0.305911,-76.914853,684390.184013,525315.148844,297.0,90.52560000000001,27.747372,159.0,70.55555555555556,6268.0,1910.4864,76.65820215954733,25.60124487646043,2008.0,84902.24243924879,0
ACAE0011,ACAE-11,10830,Putumayo,Caguan-Putumayo,0.287539,-76.911964,684711.658106,523281.049287,976.0,297.4848,26.712576,217.0,102.77777777777779,10830.0,3300.9840000000004,114.38579342170028,26.559722016738124,2008.0,86330.19949502544,0
ACAE0012,ACAE-12,10855,Putumayo,Caguan-Putumayo,0.298083,-76.910869,684833.945305,524448.40463,940.0,286.512,26.76744,219.0,103.8888888888889,10855.0,3308.6040000000003,115.5227002662997,26.82559178018877,2008.0,85759.43913988219,0
ACAE0002,ACAE-2,10640,Putumayo,Caguan-Putumayo,0.289872,-76.917192,684129.033676,523539.51843,304.0,92.6592,27.736704,218.0,103.33333333333334,10640.0,3243.072,114.74248580080842,26.82819925083637,2008.0,85705.79891420153,0
ACAE0005,ACAE-5,10746,Putumayo,Caguan-Putumayo,0.310628,-76.916756,684178.237832,525837.400207,312.0,95.0976,27.724512,195.0,90.55555555555556,10745.0,3275.076,102.07521370313472,22.701977512318713,2008.0,84353.95051224722,0
ACAE0007,ACAE-7,10730,Putumayo,Caguan-Putumayo,0.295367,-76.917789,684062.62375,524147.842734,1019.0,310.5912,26.647044,157.0,69.44444444444444,5001.0,1524.3048000000001,74.00543058189592,31.068843043658934,2008.0,85299.66293195821,0
ACAE0008,ACAE-8,10755,Putumayo,Caguan-Putumayo,0.302839,-76.919417,683881.403298,524975.153208,981.0,299.301408,26.70349296,216.0,102.22222222222223,10755.0,3278.1240000000003,113.7523270909972,26.554466558006098,2008.0,84676.72788687368,0
ACAE0008A,ACAE-8A,10720,Putumayo,Caguan-Putumayo,0.302231,-76.918911,683937.739831,524907.792205,943.0,287.655,26.761725,217.0,102.77777777777779,10720.0,3267.456,114.27125952040129,26.78216157169409,2008.0,84761.4404009249,0
AGAT0001,AGATA-1,6201,Boyacá,Valle Medio del Magdalena,5.830164,-74.321856,973547.350579,1136101.111383,940.0,286.512,26.76744,145.0,62.77777777777778,5283.0,1610.2584000000002,67.67402964122167,25.40374243116612,2008.0,73424.87956003919,0
AGUA0001,AGUACHICA-1,11330,Cesar,Valle Medio del Magdalena,8.073272,-73.606028,1052346.609192,1384242.924927,226.0,68.8848,27.855576,181.0,82.77777777777779,11326.0,3452.1648,94.88023270933388,19.415254077480277,2008.0,308230.58845400804,0
AGUL0001,AGUALINDA-1,9108,Casanare,Llanos Orientales,6.175794,-71.091822,1330987.006031,1175294.65359,451.0,137.4648,27.512676,176.0,80.0,9100.0,2773.6800000000003,89.6485253717706,22.401953135102318,2009.0,431827.9848002008,0
AMAR0001,AGUAMARINA-1,11499,Casanare,Llanos Orientales,4.8018083,-72.3174583,1195661.3017403,1022674.059202,,172.82,27.3359,227.0,108.33333333333334,11446.0,3488.7408,120.54957669228457,26.71842995394917,2009.0,307409.5231422216,0
ABLA0001,AGUAS BLANCAS-1,11206,Santander,Valle Medio del Magdalena,6.795316,-73.792668,1031865.195479,1242887.386018,350.0,106.68,27.6666,185.0,85.0,11206.0,3415.5888,96.98630751516646,20.29509744122784,2008.0,181377.5465902711,0
ABLA0002,AGUAS BLANCAS-2,9222,Santander,Valle Medio del Magdalena,6.839267,-73.791586,1031981.895243,1247748.100384,339.0,103.3272,27.683364,160.0,71.11111111111111,9222.0,2810.8656,80.90676909164115,18.934880803849587,2008.0,184924.2512913193,0
ABLA0003,AGUAS BLANCAS-3,8937,Santander,Valle Medio del Magdalena,6.815653,-73.770775,1034284.002601,1245138.005644,340.0,103.632,27.681839999999998,160.0,71.11111111111111,8817.0,2687.4216,80.41471231059549,19.6221063009226,2008.0,184686.56082415054,0
ABLA0004,AGUAS BLANCAS-4,4919.5,Santander,Valle Medio del Magdalena,6.846886,-73.771642,1034185.976346,1248592.123276,450.0,137.16,27.5142,134.0,56.66666666666667,5172.0,1576.4256,61.43031914431654,21.51457014166513,2008.0,187072.1266749057,0
ABLA0005,AGUAS BLANCAS-5,7495,Santander,Valle Medio del Magdalena,6.838322,-73.779533,1033314.258033,1247644.463369,366.0,111.55680000000001,27.642215999999998,156.0,68.88888888888889,7580.0,2310.384,76.64535699462654,21.20995513933032,2008.0,185782.44012776317,0
ABLA0006,AGUAS BLANCAS-6,6448,Santander,Valle Medio del Magdalena,6.847286,-73.782772,1032955.619704,1248635.582896,400.0,121.92,27.5904,126.0,52.22222222222222,6460.0,1969.008,58.564847543786286,15.730991211709798,2008.0,186242.13363497012,0
ABLA0007,AGUAS BLANCAS-7,8125.5,Santander,Valle Medio del Magdalena,6.842322,-73.798156,1031255.515099,1248085.58439,360.0,109.72800000000001,27.65136,142.0,61.111111111111114,8185.0,2494.788,69.63007174100717,16.826564718528058,2008.0,184661.46230722254,0
ACLA0001W,AGUAS CLARAS WEST-1,11918,Santander,Valle Medio del Magdalena,7.300628,-73.520375,1061900.140097,1298799.983768,452.0,137.7696,27.511152,202.0,94.44444444444444,13025.0,3970.02,107.89790076523832,20.24844931895515,2008.0,242953.9090820967,0
ACLA0001,AGUAS CLARAS-1,6716,Santander,Valle Medio del Magdalena,7.292394,-73.516175,1062365.096791,1297889.959232,429.0,130.7592,27.546204,130.0,54.44444444444445,6520.0,1987.296,60.862292318892386,16.764532469693684,2008.0,242568.3615964338,0
ACLA0002,AGUAS CLARAS-2,6587,Santander,Valle Medio del Magdalena,6.657322,-73.670289,1045406.913953,1227635.945832,521.0,158.8008,27.405996,130.0,54.44444444444445,6587.0,2007.7176000000002,60.94640573658168,16.705740755862116,2008.0,181387.17831505628,0
ACLA0003,AGUAS CLARAS-3,7595,Santander,Valle Medio del Magdalena,7.291056,-73.516892,1062286.133316,1297741.790776,517.0,157.5816,27.412091999999998,152.0,66.66666666666667,7594.0,2314.6512000000002,74.44084313820399,20.317856590316495,2008.0,242404.3342294612,0
ACLA0004,AGUAS CLARAS-4,9415,Santander,Valle Medio del Magdalena,7.293717,-73.510108,1063034.885845,1298037.046775,578.0,176.17440000000002,27.319128,162.0,72.22222222222223,9490.0,2892.552,82.33730880994922,19.020636728380065,2008.0,243120.19906125334,0
ACLA0005,AGUAS CLARAS-5,8547,Santander,Valle Medio del Magdalena,7.302775,-73.508761,1063182.392151,1299039.072714,460.0,140.208,27.49896,134.0,56.66666666666667,5103.0,1555.3944000000001,61.3483011488204,21.762545338224438,2008.0,243975.53840523423,0
AGUE0001,AGUEDA-1,0,Casanare,Llanos Orientales,5.0850615,-71.9523027,1236092.9955834,1054134.0003174,553.0,168.55440000000002,27.357228,206.0,96.66666666666667,10000.0,3048.0,107.37279480625523,26.251826380005,2009.0,338832.10973764944,0
AIPE0001S,AIPE SUR-1,5048.5,Huila,Valle Superior del Magdalena,3.159247,-75.266758,868177.422414,840861.205762,398.0,121.3104,27.593448,134.0,56.66666666666667,5045.0,1537.7160000000001,61.27960861388263,21.906620347243983,2008.0,88550.15707215252,0
AIPE0001TK,AIPE TK-1,4203,Huila,Valle Superior del Magdalena,3.215886,-75.253092,869703.993668,847123.862711,1332.0,405.9936,26.170032,125.0,51.66666666666667,4253.0,1296.3144,55.36710889286382,22.523144765547478,2008.0,92027.99008010417,0
AIPE0002,AIPE-2,3808,Huila,Valle Superior del Magdalena,3.235311,-75.242836,870846.58941,849270.998903,1275.0,388.62,26.256899999999998,125.0,51.66666666666667,3837.0000000000005,1169.5176000000001,54.90945834396225,24.49946742482734,2008.0,93868.92820428447,0
ALBO0001,ALBORADA-1,9580,Putumayo,Caguan-Putumayo,0.750669,-76.367114,745445.415458,574519.418555,949.0,289.2552,26.753724,213.0,100.55555555555556,9580.0,2919.984,110.77664127479294,28.775129341391235,2008.0,51666.70219118016,0
ALCA0001,ALCARAVAN-1,10560,Casanare,Llanos Orientales,4.8598111,-72.1859,1210245.3299401,1029130.7261839,569.0,173.43120000000002,27.332843999999998,200.0,93.33333333333334,10550.0,3215.6400000000003,104.64660942608079,24.043041331144277,2009.0,319462.4335216922,0
ALCO0001,ALCON-1,2195,Cundinamarca,Valle Medio del Magdalena,5.092486,-74.585899,944003.116785,1054588.087398,553.0,168.55440000000002,27.357228,124.0,51.111111111111114,2195.0,669.0360000000001,52.72834045373766,37.921894268376676,2008.0,69402.76255518734,0
ALEA0001,ALEA-1,8339,Putumayo,Caguan-Putumayo,0.472889,-76.29168,753836.168575,543776.374824,784.0,238.9632,27.005184,113.0,45.0,2760.0,841.248,47.14098041774244,23.935624712025987,2008.0,79045.42035197903,0
ALEJ0001,ALEJANDRIA-1,6670,Magdalena,Valle Inferior del Magdalena,9.918889,-74.133734,994207.494288,1588343.397763,252.0,76.8096,27.815952,110.0,43.333333333333336,8404.0,2561.5392,52.12602543657098,9.490416323346125,2008.0,483431.64853706636,0
ALIX0001,ALIX-1,3423,Arauca,Llanos Orientales,6.265939,-69.690706,1486302.970499,1186370.638343,315.0,96.012,27.719939999999998,139.0,59.44444444444445,3423.0,1043.3304,62.248726838194926,33.09477691649254,2009.0,586778.3884257798,0
ALMA0001,ALMAGRO-1,7000,Meta,Llanos Orientales,3.904858,-72.665992,1157167.676925,923367.665642,665.0,202.692,27.18654,206.0,96.66666666666667,6998.0,2132.9904,103.68670038974192,35.86521551608573,2009.0,283840.38986338663,0
ALMS0001,ALMENDRO-1,4244,Norte de Santander,Catatumbo,7.831394,-72.611031,1162134.648204,1357744.968965,1729.0,526.9992,25.565004,126.0,52.22222222222222,4258.0,1297.8384,55.928262280157945,23.39525343074912,2008.0,355196.3115179422,0
ALPU0001,ALPUJARRA-1,5366,Tolima,Cordillera oriental,3.524027,-74.829854,916779.705463,881156.590208,1799.0,548.3352,25.458323999999998,126.0,52.22222222222222,5441.0,1658.4168000000002,57.308553104446666,19.20520167454084,2008.0,104603.03177241405,0
ALTA0001,ALTAGRACIA-1,7407,Huila,Valle Superior del Magdalena,3.048417,-75.167933,879151.966758,828591.488388,553.0,168.55440000000002,27.357228,146.0,63.333333333333336,7407.0,2257.6536,70.87087537708261,19.273836950488157,2008.0,96569.6457779827,0
ALTA0002,ALTAGRACIA-2,8004,Huila,Valle Superior del Magdalena,3.052383,-75.169686,878957.521046,829030.385706,544.0,165.8112,27.370943999999998,154.0,67.77777777777779,8004.0,2439.6192,76.06940213910448,19.96149978615699,2008.0,96441.20726181373,0
ALTM0001,ALTAMIRA-1,7388,Huila,Valle Superior del Magdalena,2.083256,-75.745417,814796.938316,721903.000219,1217.0,370.9416,26.345292,148.0,64.44444444444444,7380.0,2249.424,71.94780862458552,20.272975048094768,2008.0,34454.90363805707,0
AMBA0001,AMBALEMA-1,5806,Tolima,Valle Medio del Magdalena,4.757755,-74.869731,912484.028486,1017600.327303,825.0,251.46,26.9427,128.0,53.333333333333336,5803.0,1768.7544,58.86052454399181,18.045368279503254,2008.0,51540.33358483106,0
AMBR0002,AMBARCO-2,10314,Huila,Valle Superior del Magdalena,3.087994,-75.330806,861047.212895,832988.623706,445.0,445.0,25.974999999999998,180.0,82.22222222222223,10341.0,3151.9368,93.30892275400127,21.36271347636199,2008.0,79604.50667316734,0
00010066,AMBROSIA-1,5300,Tolima,Valle Medio del Magdalena,4.624767,-74.868934,912555.857909,1002892.663183,919.0,280.1112,26.799444,130.0,54.44444444444445,5300.0,1615.44,59.36107400265441,20.156508445163183,2008.0,42405.753953899904,0
AMBS0004,AMBROSIA-4,3687,Tolima,Valle Medio del Magdalena,4.620316,-74.86508,912982.998527,1002399.995834,918.0,279.8064,26.800967999999997,110.0,43.333333333333336,3687.0,1123.7976,46.41521075052538,17.45353678502729,2008.0,42461.47236548995,0
AMBS0006,AMBROSIA-6,3330,Tolima,Valle Medio del Magdalena,4.61589,-74.869545,912486.997361,1001911.003216,782.0,238.3536,27.008232,114.0,45.55555555555556,3330.0,1014.984,48.26381332282385,20.941789548233125,2008.0,41773.01521204514,0
AMOY0001,AMOYA-1,5536,Tolima,Valle Superior del Magdalena,3.729193,-75.396478,853841.878834,903919.52885,697.0,212.4456,27.137772,138.0,58.88888888888889,5536.0,1687.3728,64.0902223230947,21.89939906764806,2008.0,78322.0634655395,0
ANAC0001,ANACONDA-1,16329.99023,Meta,Llanos Orientales,4.136439,-73.706975,1041521.252932,948853.667113,3644.0,1110.6912,22.646544,238.0,114.44444444444444,16444.0,5012.1312,128.1314087828567,21.04591052661525,2009.0,165594.31429222907,0
ANDA0001E,ANDALUCIA ESTE-1,2142,Huila,Valle Superior del Magdalena,3.206406,-75.106661,885981.665205,846057.83264,577.0,175.86960000000002,27.320652,116.0,46.66666666666667,2142.0,652.8816,48.236849341646035,32.03673888442565,2008.0,107080.80177597512,0
ANDS0001,ANDALUCIA SUR-1,2682,Huila,Valle Superior del Magdalena,3.162639,-75.139394,882337.763472,841221.034232,514.0,156.6672,27.416664,119.0,48.333333333333336,2573.0,784.2504,50.29655533553741,29.174216979089092,2008.0,102243.11390237736,0
ANDS0012,ANDALUCIA SUR-12,2236,Huila,Valle Superior del Magdalena,3.171603,-75.140242,882244.578151,842212.51787,507.0,154.5336,27.427332,111.0,43.88888888888889,2237.0,681.8376000000001,45.54366019338372,26.56985797407436,2008.0,102415.40994101642,0
ANDS0019,ANDALUCIA SUR-19,1968,Huila,Valle Superior del Magdalena,3.172628,-75.133089,883039.894352,842325.069588,535.0,163.068,27.38466,110.0,43.333333333333336,1968.0,599.8464,44.751660200100304,28.952412151011167,2008.0,103211.0498754616,0
ANDS0020,ANDALUCIA SUR-20,2004.5,Huila,Valle Superior del Magdalena,3.176919,-75.135431,882780.043946,842799.975333,517.0,157.5816,27.412091999999998,113.0,45.0,2003.0,610.5144,46.44854994628301,31.181013824216123,2008.0,103089.57384459431,0
ANDS0022,ANDALUCIA SUR-22,2060,Huila,Valle Superior del Magdalena,3.169467,-75.128856,883510.169565,841974.982738,547.0,166.72560000000001,27.366372,113.0,45.0,2030.0,618.744,46.4719763986953,30.878043906195934,2008.0,103570.84560432826,0
ANDS0023,ANDALUCIA SUR-23,2398,Huila,Valle Superior del Magdalena,3.171661,-75.125758,883854.751377,842217.329696,534.0,162.7632,27.386184,118.0,47.77777777777778,2398.0,730.9104,49.57856421995661,30.36265487528514,2008.0,103967.00013345273,0
ANDS0025,ANDALUCIA SUR-25,2427,Huila,Valle Superior del Magdalena,3.164297,-75.141503,882103.550575,841404.677788,2567.0,782.4216,24.287892,128.0,53.333333333333336,2427.0,739.7496,55.160771838590726,41.73422985100733,2008.0,102065.05689604064,0
ANDS0026,ANDALUCIA SUR-26,2154,Huila,Valle Superior del Magdalena,3.167789,-75.134522,882880.005539,841790.060946,1719.0,523.9512,25.580244,112.0,44.44444444444444,2154.0,656.5392,46.025247061755984,31.1405671767291,2008.0,102914.84862595199,0
ANDS0033,ANDALUCIA SUR-33,2080,Huila,Valle Superior del Magdalena,3.169369,-75.130675,883307.889838,841964.426348,1640.0,499.872,25.70064,110.0,43.333333333333336,2067.0,630.0216,44.83756976870806,30.37503756808982,2008.0,103373.15750068508,0
ANDS0034,ANDALUCIA SUR-34,1940,Huila,Valle Superior del Magdalena,3.169686,-75.136233,882689.989795,842000.080304,1810.0,551.688,25.44156,107.0,41.66666666666667,1940.0,591.312,43.060932981872305,29.797083404145877,2008.0,102787.4082694409,0
ANDS0035,ANDALUCIA SUR-35,2255,Huila,Valle Superior del Magdalena,3.166388,-75.133172,883029.999538,841635.005527,1344.0,409.6512,26.151744,112.0,44.44444444444444,2255.0,687.3240000000001,46.11537512281341,29.04544453971258,2008.0,103018.62468835787,0
ANDS0036,ANDALUCIA SUR-36,2140,Huila,Valle Superior del Magdalena,3.165531,-75.136706,882637.014495,841540.545177,1804.0,549.8592,25.450703999999998,112.0,44.44444444444444,2140.0,652.272,46.01285896191154,31.523896414243662,2008.0,102614.994508787,0
ANDS0037,ANDALUCIA SUR-37,2266,Huila,Valle Superior del Magdalena,3.163719,-75.135822,882735.021998,841340.130839,1623.0,494.6904,25.726548,114.0,45.55555555555556,2266.0,690.6768000000001,47.23638200937336,31.143125133743244,2008.0,102657.27306910559,0
ANDS0038,ANDALUCIA SUR-38,2190,Huila,Valle Superior del Magdalena,3.168153,-75.132094,883149.998228,841830.000166,1646.0,501.7008,25.691496,118.0,47.77777777777778,2190.0,667.5120000000001,49.390553104059016,35.50356713296392,2008.0,103185.57140137702,0
ANDS0039,ANDALUCIA SUR-39,2031,Huila,Valle Superior del Magdalena,3.174394,-75.128053,883599.970693,842519.883183,492.0,492.0,25.74,112.0,44.44444444444444,2031.0,619.0488,45.91729035001035,32.59402223218969,2008.0,103802.33527494769,0
ANDS0004,ANDALUCIA SUR-4,2056,Huila,Valle Superior del Magdalena,3.168644,-75.137914,882503.03392,841885.061118,524.0,524.0,25.58,112.0,44.44444444444444,2057.0,626.9736,45.939944074348894,32.47336741825955,2008.0,102576.72644028255,0
ANDS0008,ANDALUCIA SUR-8,2667,Huila,Valle Superior del Magdalena,3.159864,-75.147556,881430.130318,840915.05308,461.0,461.0,25.895,112.0,44.44444444444444,2667.0,812.9016,46.49648750660462,25.34315039680648,2008.0,101287.92414408285,0
ANDS0009,ANDALUCIA SUR-9,2204,Huila,Valle Superior del Magdalena,3.178786,-75.124008,884050.098764,843005.138859,,518.0,25.61,115.0,46.111111111111114,2204.0,671.7792000000001,47.73636587902475,32.93696184553608,2008.0,104366.46733118217,0
ANDE0001,ANDES-1,3075,Caldas,Valle Medio del Magdalena,5.760086,-74.690311,932498.882357,1128429.077038,523.0,159.4104,27.402948,118.0,47.77777777777778,3075.0,937.26,50.22764325198179,24.35257586153446,2008.0,32299.235937184705,0
00009557,ANDINO-1,3600,Tolima,Cordillera oriental,3.602101,-74.882734,910910.827688,889795.651966,3224.0,982.6752,23.286624,136.0,57.77777777777778,2922.0,890.6256000000001,60.076158441302546,41.30751961464228,2008.0,94398.30553871776,0
ANGE0001,ANGELES-1,5466,Cesar,Valle Medio del Magdalena,8.091122,-73.580497,1055158.467383,1386220.527517,279.0,85.03920000000001,27.774804,119.0,48.333333333333336,2250.0,685.8000000000001,49.99977109587196,32.40735942821807,2008.0,311335.2795940532,0
ANGE0002,ANGELES-2,6410,Cesar,Valle Medio del Magdalena,8.083908,-73.581719,1055024.72584,1385422.493152,276.0,84.12480000000001,27.779376,143.0,61.66666666666667,6410.0,1953.768,67.9466858685598,20.558894335744977,2008.0,310570.37045395887,0
ANGE0003,ANGELES-3,6550,Cesar,Valle Medio del Magdalena,8.077933,-73.584653,1054702.184677,1384761.254019,284.0,86.56320000000001,27.767184,153.0,67.22222222222223,7094.0,2162.2512,74.36363360303746,21.549970513619073,2008.0,309833.00039197755,0
ANGE0005,ANGELES-5,6604,Cesar,Valle Medio del Magdalena,8.074036,-73.58365,1054813.249509,1384330.352466,266.0,81.0768,27.794615999999998,140.0,60.0,6604.0,2012.8992,66.5233217081903,19.240260867603453,2008.0,309510.00398048357,0
ANGE0006,ANGELES-6,7137,Cesar,Valle Medio del Magdalena,8.074861,-73.587308,1054409.878618,1384421.10889,264.0,80.4672,27.797663999999997,144.0,62.22222222222223,7150.0,2179.32,69.43447534330654,19.105414231644065,2008.0,309391.88014099776,0
ANGE0007,ANGELES-7,7600,Cesar,Valle Medio del Magdalena,8.069947,-73.586944,1054450.649819,1383877.673015,264.0,80.4672,27.797663999999997,147.0,63.88888888888889,7600.0,2316.48,71.6706541496621,18.939507420595948,2008.0,308935.73225358507,0
ANGE0008,ANGELES-8,7235,Cesar,Valle Medio del Magdalena,8.0791,-73.588064,1054326.021133,1384889.836662,285.0,86.86800000000001,27.76566,142.0,61.111111111111114,7235.0,2205.228,68.43092969772225,18.44039242097518,2008.0,309761.75048213924,0
APAR0001,APARTADO-1,11610.7998,Antioquia,Uraba,7.828981,-76.707569,710199.922233,1358099.916095,46.0,14.020800000000001,28.129896,155.0,68.33333333333334,12100.0,3688.0800000000004,81.12458369345416,14.369180628797137,2008.0,309824.7592596001,0
APIE0001,APIAY ESTE-1,11700,Meta,Llanos Orientales,4.076544,-73.37905,1077940.135526,942254.625818,903.0,275.2344,26.823828,236.0,113.33333333333334,11747.999999999998,3580.7903999999994,125.82494754450744,27.647839858068057,2009.0,202568.9222288787,0
APIA0001,APIAY-1,11020,Meta,Llanos Orientales,4.080986,-73.386289,1077135.815265,942745.133465,918.0,279.8064,26.800967999999997,233.0,111.66666666666667,11082.0,3377.7936,123.53056481248613,28.636917546556468,2009.0,201691.23351763785,0
APIA0010,APIAY-10,10938.5,Meta,Llanos Orientales,4.073333,-73.387817,1076966.878556,941898.670367,937.0,285.5976,26.772012,181.0,82.77777777777779,9380.0,2859.0240000000003,92.76241755846691,23.08144512199509,2009.0,201676.27707120145,0
APIA0011,APIAY-11,10756,Meta,Llanos Orientales,4.079911,-73.384831,1077297.864658,942626.389893,915.0,278.892,26.80554,224.0,106.66666666666667,10871.0,3313.4808000000003,118.31694093030112,27.61790589832333,2009.0,201871.50277844013,0
APIA0012,APIAY-12,10997.5,Meta,Llanos Orientales,4.069986,-73.394544,1076220.065089,941527.867931,,288.0,26.759999999999998,236.0,113.33333333333334,11000.0,3352.8,125.11499238050216,29.33518026142393,2009.0,201010.20938402062,0
APIA0013,APIAY-13,10900,Meta,Llanos Orientales,4.0738,-73.3967,1075982.1722,941954.3517,940.0,286.512,26.76744,222.0,105.55555555555556,10958.0,3339.9984,117.2947042706228,27.103984322454405,2009.0,200697.87686213545,0
APIA0014,APIAY-14,10900,Meta,Llanos Orientales,4.067739,-73.397969,1075839.919082,941279.029903,962.0,293.2176,26.733912,226.0,107.77777777777779,10930.0,3331.464,119.48844263006917,27.841972967460904,2009.0,200682.6926530217,0
APIA0015,APIAY-15,10900,Meta,Llanos Orientales,4.0892,-73.3776,1078099.6306,943650.6589,922.0,281.0256,26.794871999999998,224.0,106.66666666666667,10070.0,3069.3360000000002,117.45195306984759,29.536382158827703,2009.0,202481.67923615387,0
APIA0016,APIAY-16,10990,Meta,Llanos Orientales,4.067669,-73.391008,1076612.978459,941272.000967,1027.0,313.0296,26.634852,220.0,104.44444444444444,10992.0,3350.3616,116.21802635107811,26.738359928396417,2009.0,201442.99955668906,0
APIA0018,APIAY-18,10900,Meta,Llanos Orientales,4.0702167,-73.3882583,1076918.1335857,941553.966082,942.0,287.1216,26.764392,228.0,108.8888888888889,10876.0,3315.0048,120.5443003429278,28.289524148781865,2009.0,201690.9834713612,0
APIA0002,APIAY-2,11104,Meta,Llanos Orientales,4.08195,-73.404619,1075100.097732,942849.996784,900.0,274.32,26.8284,230.0,110.0,11105.0,3384.804,121.88678256688854,28.083866175674732,2009.0,199671.2956395324,0
APIA0003,APIAY-3,11004,Meta,Llanos Orientales,4.086089,-73.382581,1077547.138365,943309.804913,900.0,274.32,26.8284,213.0,100.55555555555556,10934.0,3332.6832,112.27029651717828,25.637569306671057,2009.0,201997.02135734505,0
APIA0005,APIAY-5,10959.5,Meta,Llanos Orientales,4.078417,-73.391089,1076603.011072,942460.58276,,280.0,26.8,168.0,75.55555555555556,8000.0,2438.4,83.84214649640731,23.39326874032452,2009.0,201217.88795756354,0
APIA0006,APIAY-6,10787,Meta,Llanos Orientales,4.089775,-73.387667,1076981.970481,943716.959037,937.0,285.5976,26.772012,240.0,115.55555555555556,10815.0,3296.4120000000003,127.14805159558638,30.45008924721375,2009.0,201370.69312483908,0
APIA0007,APIAY-7,11054,Meta,Llanos Orientales,4.07665,-73.387022,1077054.794207,942265.537401,934.0,284.6832,26.776584,243.0,117.22222222222223,11061.0,3371.3928,129.06515557265908,30.340152465372498,2009.0,201696.78626523542,0
APIA0008,APIAY-8,11040,Meta,Llanos Orientales,4.072806,-73.390367,1076683.744353,941840.069596,943.0,287.4264,26.762867999999997,135.0,57.22222222222222,11078.0,3376.5744,69.08213223458601,12.533194658641614,2009.0,201408.69798720817,0
APIA0009,APIAY-9,11219.5,Meta,Llanos Orientales,4.077542,-73.382447,1077562.772823,942364.588772,907.0,276.4536,26.817732,184.0,84.44444444444444,9400.0,2865.1200000000003,94.45287258750002,23.606390164286317,2009.0,202178.41923941928,0
APIC0001,APICALA-1,11972,Tolima,Cordillera oriental,4.105473,-74.701611,931076.741465,945446.385449,858.0,261.5184,26.892408,156.0,68.88888888888889,13517.0,4119.9816,82.60988507649904,13.523719881782734,2008.0,61983.266282933924,0
APUR0001,APURE-1,11430.5,Magdalena,Valle Inferior del Magdalena,9.890686,-74.634439,939288.728112,1585273.809886,400.0,121.92,27.5904,192.0,88.88888888888889,11476.0,3497.8848000000003,101.13320099845569,21.024935126066953,2008.0,473012.66858694114,0
APUR0002,APURE-2,12412,Magdalena,Valle Inferior del Magdalena,9.916364,-74.654719,937069.149816,1588117.886045,482.0,146.9136,27.465432,208.0,97.77777777777779,11974.0,3649.6752,110.46453474986393,22.741503887760732,2008.0,475696.53672928514,0
ARAG0001,ARAGUATO-1,8700,Arauca,Llanos Orientales,6.916601,-71.177426,1321025.518637,1257271.193255,475.0,144.78,27.4761,190.0,87.77777777777779,8700.0,2651.76,96.93745998894562,26.19443689811507,2009.0,441192.8399491929,0
ARAM0001,ARAMA-1,4402,Meta,Llanos Orientales,3.445934,-73.94681,1014902.534465,872488.712317,1838.0,560.2224,25.398888,120.0,48.88888888888889,3195.0,973.836,51.45944371989378,26.76072328389357,2009.0,172763.6744531741,0
ARAU0001,ARAUCA-1,19750,Arauca,Llanos Orientales,6.954928,-71.856931,1245833.438908,1261107.57257,670.0,204.216,27.178919999999998,260.0,126.66666666666667,18812.0,5733.8976,137.53405637863295,19.246094729461674,2009.0,372432.5284100611,0
ARAU0002,ARAUCA-2,20466.19922,Arauca,Llanos Orientales,6.958485,-71.843839,1247279.381113,1261508.058321,623.0,189.8904,27.250548,273.0,133.88888888888889,20581.0,6273.0888,140.42558948850402,18.0413581087046,2009.0,373918.08370597777,0
ARAU0003,ARAUCA-3,18200,Arauca,Llanos Orientales,6.984136,-71.820089,1249892.384209,1264359.551762,635.0,193.548,27.23226,270.0,132.22222222222223,19651.0,5989.6248000000005,141.3038251113659,19.044859890283263,2009.0,377441.6468432962,0
